time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              100.00         10             
1000         0.24    404            261            0              16876          255244         1              5              100.00         10             
2000         1.4     676            281            0              16876          328976         1              5              100.00         10             
3000         1.7     676            281            0              16876          328976         1              5              100.00         10             
4000         1.8     676            281            0              16876          328976         1              5              100.00         10             
5000         1.9     676            281            0              16876          328976         1              5              100.00         10             
6000         2       676            281            0              16876          328976         1              5              100.00         10             
7000         2       676            281            0              16876          328976         1              5              100.00         10             
8000         2       676            281            0              16876          328976         1              5              100.00         10             
9000         2       676            281            0              16876          328976         1              5              100.00         10             
10000        2       676            281            0              16876          328976         1              5              100.00         10             
11000        2.1     676            281            0              16876          328976         1              5              100.00         10             
