time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              4              100.00         10             
1000         4.5     4668           805            0              19284          919364         1              4              100.00         10             
2000         4.2     4800           829            0              19284          919364         1              4              100.00         10             
3000         4.2     4800           829            0              19284          919364         1              4              100.00         10             
4000         4.2     4800           829            0              19284          919364         1              4              100.00         10             
5000         4.2     4800           829            0              19284          919364         1              4              100.00         10             
6000         4.3     4800           829            0              19284          919364         1              4              100.00         10             
7000         4.3     4800           829            0              19284          919364         1              4              100.00         10             
8000         4.3     4800           829            0              19284          919364         1              4              100.00         10             
9000         4.3     4800           829            0              19284          919364         1              4              100.00         10             
10000        4.2     4800           829            0              19284          919364         1              4              100.00         10             
